keep_ratio,label,prune_fraction,round,sparse_compression_ratio_mean,sparse_dropped_update_l2_mean,sparse_num_params_sent_mean,sparse_num_params_total_mean,sparse_score_mean_mean,sparse_score_p50_mean,sparse_score_p90_mean,sparse_sent_update_fraction_l2_mean,sparse_sent_update_l2_mean,sparse_threshold_mean
0.5,drop050_keep050,0.5,79,0.5,0.011221131474022816,50885.0,101770.0,2.6532073650507264e-07,9.883714399038703e-08,3.300898194675611e-07,0.9936295455338804,0.09550481466684987,9.883884719312697e-08
0.5,drop050_keep050,0.5,80,0.5,0.008525652394499834,50885.0,101770.0,2.060232108666602e-07,7.420667519264696e-08,2.5225139121208727e-07,0.993912369699005,0.07604421701444745,7.420817989745859e-08
0.5,drop050_keep050,0.5,81,0.5,0.009979289471699099,50885.0,101770.0,2.4859928703916267e-07,8.878230523371632e-08,3.116206181896228e-07,0.9943871273003746,0.09381475822991589,8.87839570529235e-08
0.5,drop050_keep050,0.5,82,0.5,0.008814801069575768,50885.0,101770.0,2.1755855282549188e-07,7.705572006727533e-08,2.725166644317844e-07,0.9946362675834064,0.08039249583593329,7.705655670515416e-08
0.5,drop050_keep050,0.5,83,0.5,0.011042555118705366,50885.0,101770.0,2.756320295697961e-07,9.873197908770657e-08,3.4109619216949405e-07,0.9942752984008244,0.10343560856170227,9.873311623095253e-08
0.5,drop050_keep050,0.5,84,0.5,0.009010139491118997,50885.0,101770.0,2.2173447015683713e-07,8.010485291201565e-08,2.7804614610862025e-07,0.9942948015824958,0.08383880637443918,8.010529564487593e-08
0.5,drop050_keep050,0.5,85,0.5,0.009560454951199438,50885.0,101770.0,2.487075267088189e-07,8.430528243199651e-08,2.8862618143518666e-07,0.9944531991053925,0.08889730858473434,8.430569647253006e-08
0.5,drop050_keep050,0.5,86,0.5,0.012528543593659848,50885.0,101770.0,3.154916092585219e-07,1.1137323288606085e-07,3.731680971054529e-07,0.9945073678131516,0.11408710297210316,1.1137518508880402e-07
0.5,drop050_keep050,0.5,87,0.5,0.010055841166424285,50885.0,101770.0,2.3291764934559608e-07,8.856372685440535e-08,3.012558991214919e-07,0.9941633034856932,0.08972139385193999,8.856423379948443e-08
0.5,drop050_keep050,0.5,88,0.5,0.008205225786018469,50885.0,101770.0,2.1314383955740307e-07,7.099589873547282e-08,2.6147563419996227e-07,0.9943778238937705,0.07690410203234375,7.099720603828845e-08
0.5,drop050_keep050,0.5,89,0.5,0.007333955459830487,50885.0,101770.0,1.8000204173366022e-07,6.476859140678763e-08,2.2359353541628593e-07,0.9945110780660158,0.06910630427277692,6.476913081604337e-08
0.5,drop050_keep050,0.5,90,0.5,0.009931149934700453,50885.0,101770.0,2.4350154921573324e-07,8.764482004433446e-08,2.965918108344907e-07,0.9941419797753029,0.08788433288233073,8.764554511242849e-08
0.5,drop050_keep050,0.5,91,0.5,0.010384454554134693,50885.0,101770.0,2.450018141379762e-07,8.898363682082537e-08,3.0221353491507734e-07,0.9937957080555628,0.09083726562040927,8.89842507458594e-08
