round,parameter,kind,numel,mean_abs,sigma_mean,sigma_min,sigma_max,snr_mean
78,fc2.mu_bias,bbb,10,0.19501134753227234,0.048602502793073654,0.04292583093047142,0.05358003079891205,4.000184535980225
79,conv1.mu_kernel,bbb,2400,0.14043380320072174,0.048592451959848404,0.03250190243124962,0.06557976454496384,2.923043727874756
79,conv1.mu_bias,bbb,32,0.7924964427947998,0.049909885972738266,0.04056321457028389,0.06959915906190872,16.048294067382812
79,conv2.mu_kernel,bbb,51200,0.0831919014453888,0.048824504017829895,0.03242262080311775,0.07458502799272537,1.7203936576843262
79,conv2.mu_bias,bbb,64,0.31294429302215576,0.049436405301094055,0.036568500101566315,0.060360997915267944,6.387176513671875
79,fc1.mu_weight,bbb,819200,0.07954264432191849,0.0488150455057621,0.02952762506902218,0.07759173214435577,1.6450423002243042
79,fc1.mu_bias,bbb,512,0.19543865323066711,0.04876787215471268,0.03452446311712265,0.06342297047376633,4.026314735412598
79,fc2.mu_weight,bbb,5120,0.0702022910118103,0.04870898276567459,0.0346180722117424,0.07154477387666702,1.455275297164917
79,fc2.mu_bias,bbb,10,0.19735494256019592,0.04859400540590286,0.0429190956056118,0.05356710031628609,4.051798343658447
80,conv1.mu_kernel,bbb,2400,0.14102543890476227,0.04859144240617752,0.0325017087161541,0.06557951867580414,2.935447931289673
80,conv1.mu_bias,bbb,32,0.7967270016670227,0.04990534111857414,0.040563203394412994,0.06959529966115952,16.137950897216797
80,conv2.mu_kernel,bbb,51200,0.0832134559750557,0.04882446676492691,0.03242265433073044,0.07458502799272537,1.7208424806594849
80,conv2.mu_bias,bbb,64,0.3137549161911011,0.049434881657361984,0.036568623036146164,0.060360703617334366,6.4037299156188965
80,fc1.mu_weight,bbb,819200,0.07954055070877075,0.0488150455057621,0.02952762506902218,0.07759173214435577,1.64499831199646
80,fc1.mu_bias,bbb,512,0.19604802131652832,0.04876776784658432,0.034524474292993546,0.063422791659832,4.038883209228516
80,fc2.mu_weight,bbb,5120,0.07015466690063477,0.04870857670903206,0.034617964178323746,0.07154279947280884,1.454298734664917
80,fc2.mu_bias,bbb,10,0.19986870884895325,0.04859020188450813,0.04291369393467903,0.053563978523015976,4.10399055480957
