entity,num_examples,class_counts_0_to_9
client_243,173,"[0, 58, 58, 0, 0, 0, 0, 57, 0, 0]"
client_244,153,"[0, 51, 0, 51, 51, 0, 0, 0, 0, 0]"
client_245,154,"[51, 0, 0, 0, 51, 52, 0, 0, 0, 0]"
client_246,159,"[0, 53, 0, 0, 0, 0, 0, 53, 53, 0]"
client_247,164,"[0, 0, 55, 54, 55, 0, 0, 0, 0, 0]"
client_248,161,"[0, 0, 54, 53, 0, 0, 54, 0, 0, 0]"
client_249,162,"[0, 0, 0, 0, 0, 0, 0, 54, 54, 54]"
client_250,158,"[53, 0, 0, 0, 52, 0, 53, 0, 0, 0]"
client_251,170,"[0, 0, 56, 0, 57, 0, 0, 0, 0, 57]"
client_252,162,"[0, 0, 54, 0, 0, 0, 54, 0, 54, 0]"
client_253,149,"[0, 50, 0, 49, 50, 0, 0, 0, 0, 0]"
client_254,162,"[54, 54, 0, 0, 0, 0, 54, 0, 0, 0]"
client_255,142,"[47, 0, 0, 0, 0, 0, 0, 48, 0, 47]"
client_256,157,"[0, 52, 53, 0, 0, 52, 0, 0, 0, 0]"
client_257,160,"[0, 0, 0, 0, 53, 0, 0, 54, 53, 0]"
client_258,143,"[0, 0, 47, 0, 0, 0, 48, 0, 0, 48]"
client_259,145,"[0, 49, 0, 48, 0, 0, 0, 0, 0, 48]"
client_260,129,"[0, 0, 0, 43, 43, 0, 0, 43, 0, 0]"
client_261,160,"[0, 0, 0, 53, 54, 0, 0, 0, 0, 53]"
client_262,158,"[53, 0, 0, 0, 0, 53, 0, 52, 0, 0]"
client_263,138,"[46, 0, 0, 46, 46, 0, 0, 0, 0, 0]"
client_264,160,"[0, 53, 0, 54, 0, 53, 0, 0, 0, 0]"
client_265,176,"[0, 58, 0, 59, 0, 0, 59, 0, 0, 0]"
client_266,136,"[45, 0, 45, 0, 46, 0, 0, 0, 0, 0]"
client_267,139,"[47, 0, 0, 0, 46, 0, 0, 0, 46, 0]"
client_268,169,"[56, 0, 57, 0, 0, 0, 0, 0, 56, 0]"
client_269,171,"[0, 0, 0, 0, 0, 0, 0, 57, 57, 57]"
client_270,147,"[0, 49, 0, 49, 0, 0, 49, 0, 0, 0]"
client_271,180,"[0, 0, 0, 0, 60, 0, 0, 60, 60, 0]"
client_272,154,"[0, 51, 0, 0, 0, 52, 0, 0, 51, 0]"
client_273,157,"[0, 0, 52, 0, 53, 52, 0, 0, 0, 0]"
client_274,177,"[0, 0, 59, 0, 59, 0, 0, 0, 59, 0]"
client_275,175,"[0, 0, 0, 59, 0, 0, 0, 58, 58, 0]"
client_276,151,"[50, 50, 0, 0, 51, 0, 0, 0, 0, 0]"
client_277,181,"[0, 61, 0, 60, 0, 0, 0, 0, 60, 0]"
client_278,163,"[0, 0, 0, 55, 54, 54, 0, 0, 0, 0]"
client_279,182,"[0, 60, 0, 61, 0, 0, 0, 0, 0, 61]"
client_280,147,"[49, 49, 49, 0, 0, 0, 0, 0, 0, 0]"
client_281,154,"[0, 0, 0, 51, 0, 52, 0, 0, 0, 51]"
client_282,159,"[53, 0, 0, 0, 53, 0, 53, 0, 0, 0]"
client_283,131,"[0, 0, 44, 44, 0, 0, 0, 0, 0, 43]"
client_284,147,"[0, 0, 0, 0, 49, 0, 0, 49, 0, 49]"
client_285,154,"[0, 0, 0, 0, 0, 0, 51, 52, 51, 0]"
client_286,164,"[0, 55, 0, 0, 0, 55, 0, 0, 54, 0]"
client_287,160,"[0, 0, 0, 0, 53, 0, 0, 53, 0, 54]"
client_288,152,"[50, 0, 0, 51, 0, 51, 0, 0, 0, 0]"
client_289,137,"[46, 0, 45, 0, 0, 0, 46, 0, 0, 0]"
client_290,164,"[0, 0, 0, 0, 55, 55, 54, 0, 0, 0]"
client_291,181,"[0, 60, 0, 0, 61, 60, 0, 0, 0, 0]"
client_292,163,"[0, 0, 55, 0, 54, 54, 0, 0, 0, 0]"
client_293,143,"[0, 48, 0, 0, 48, 0, 47, 0, 0, 0]"
client_294,164,"[0, 0, 55, 0, 0, 55, 0, 0, 0, 54]"
client_295,158,"[0, 52, 53, 0, 53, 0, 0, 0, 0, 0]"
client_296,170,"[0, 0, 0, 0, 0, 57, 0, 0, 56, 57]"
client_297,161,"[0, 0, 0, 54, 0, 53, 0, 0, 0, 54]"
client_298,172,"[0, 0, 57, 0, 0, 0, 57, 0, 0, 58]"
client_299,187,"[0, 0, 0, 0, 0, 0, 62, 0, 63, 62]"
