schema_version,run_id,round,method,physical_client_id,virtual_client_id,num_examples,num_batches,local_epochs,batch_size,train_loss,task_loss,prior_loss,regularization_loss,accuracy_local_train_estimate,loss_local_train_estimate,update_l2_norm,update_linf_norm,update_cosine_to_global,drift_from_global_before_l2,drift_from_global_after_l2,label_entropy,kl_to_global_label_distribution,vi_elbo_loss,vi_kl_loss,vi_likelihood_loss,vi_complexity_cost,vi_loc_l2,vi_scale_mean,vi_scale_p50,vi_scale_p90,vi_scale_max,vi_snr_raw_mean,vi_snr_raw_p50,vi_snr_raw_p90,ola_task_loss,ola_prior_loss,ola_fisher_mean,ola_fisher_p50,ola_fisher_p90,ola_fisher_max,ola_precision_mean,ola_precision_p50,ola_precision_p90,ola_sigma_mean,ola_sigma_p50,ola_sigma_p90,ola_snr_raw_mean,ola_snr_raw_p50,ola_snr_raw_p90,channel_snr_db,pathloss_db,rate_mbps,delay_ms,energy_j,ota_contribution_norm,digital_payload_bytes,communication_success,num_examples_seen,num_examples_train
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,215,17,42,2,1,32,1.9358516420636858,1.9358516420636858,0.0,0.0,0.42857142857142855,1.9358516420636858,0.19938597965492758,0.02376948855817318,0.9995752775999662,0.19938597965492758,,1.521719365805568,0.7932357448939426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,217,17,189,6,1,32,0.7748277945808633,0.7748277945808633,0.0,0.0,0.7513227513227513,0.7748277945808633,0.40018646845530115,0.07139356434345245,0.9982928107204259,0.40018646845530115,,0.3250829733914482,1.9958124018703602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.0,189
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,100,8,10,1,1,32,1.3128594160079956,1.3128594160079956,0.0,0.0,0.6,1.3128594160079956,0.11424461104539146,0.015148714184761047,0.9998607346208955,0.11424461104539146,,0.6001660731596457,1.7117035045711888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10
bayesfl_observability_v1,debug_fedavg_mnist_cf005,3,fedavg,149,11,333,11,1,32,0.41701503981788596,0.41701503981788596,0.0,0.0,0.9009009009009009,0.41701503981788596,0.4018899272715888,0.06286271661520004,0.9982864959661291,0.4018899272715888,,0.21239478849365837,2.0487084209067463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,333
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,292,23,70,3,1,32,1.6110112760748183,1.6110112760748183,0.0,0.0,0.5714285714285714,1.6110112760748183,0.36478030897921,0.06930284947156906,0.9985841009755507,0.36478030897921,,0.30463609734923813,1.9998591779099486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,70
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,296,23,107,4,1,32,0.42917630703092735,0.42917630703092735,0.0,0.0,0.9719626168224299,0.42917630703092735,0.25645864631002757,0.0465877503156662,0.9993031094230981,0.25645864631002757,,-0.0,2.185987945410232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,107
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,41,3,4,1,1,32,2.5608010292053223,2.5608010292053223,0.0,0.0,0.0,2.5608010292053223,0.24491279506040567,0.033810004591941833,0.9993603428959699,0.24491279506040567,,0.5623351446188083,1.756608808640784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,46,3,44,2,1,32,2.084051040085879,2.084051040085879,0.0,0.0,0.3409090909090909,2.084051040085879,0.29600254849711793,0.04818583279848099,0.9990668163590668,0.29600254849711793,,0.7751254239840702,1.531153988824562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,44
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,16,1,369,12,1,32,0.3060842195985117,0.3060842195985117,0.0,0.0,0.962059620596206,0.3060842195985117,0.2912107820612866,0.04661240801215172,0.9991002073436478,0.2912107820612866,,0.1490487639578261,2.177886214364074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0,369
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,20,1,3,1,1,32,3.3054745197296143,3.3054745197296143,0.0,0.0,0.0,3.3054745197296143,0.3007196985580049,0.034935083240270615,0.9990352077595357,0.3007196985580049,,-0.0,2.311121424016332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,163,13,151,5,1,32,0.7782821023701042,0.7782821023701042,0.0,0.0,0.8807947019867549,0.7782821023701042,0.3615619416995625,0.04920896142721176,0.9986147356337969,0.3615619416995625,,0.7494436652757661,1.488660305959026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,151
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,166,13,76,3,1,32,1.4831950350811607,1.4831950350811607,0.0,0.0,0.6578947368421053,1.4831950350811607,0.24928876349071097,0.028918281197547913,0.9993396246929666,0.24928876349071097,,1.0982287840542058,1.252671424477001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,76
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,112,9,53,2,1,32,1.4700623143394038,1.4700623143394038,0.0,0.0,0.5471698113207547,1.4700623143394038,0.22202927182790558,0.026936039328575134,0.9994754212137315,0.22202927182790558,,0.7684671875616165,1.5586349016673413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,53
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,7,0,152,5,1,32,1.605164907480541,1.605164907480541,0.0,0.0,0.47368421052631576,1.605164907480541,0.4010084554519273,0.040791161358356476,0.9982891427460112,0.4010084554519273,,1.264349492321815,1.032554209297049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,152
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,72,5,243,8,1,32,0.6593219186543438,0.6593219186543438,0.0,0.0,0.7942386831275721,0.6593219186543438,0.3351679744560171,0.03637192025780678,0.9988109525767429,0.3351679744560171,,0.5850114854903742,1.7313068426386855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,243
bayesfl_observability_v1,debug_fedavg_mnist_cf005,4,fedavg,180,14,9,1,1,32,1.2733317613601685,1.2733317613601685,0.0,0.0,0.7777777777777778,1.2733317613601685,0.17535781395293426,0.02853582054376602,0.9996726999711689,0.17535781395293426,,-0.0,2.3096097079310103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9
