round,num_examples,train_loss,task_loss,train_accuracy,complexity_per_weight,resolved_kl_weight,effective_kl_weight,variance_floor_fraction,bayesian_dimension,lr,local_steps,rho_grad_l2_mean,rho_grad_nonzero_fraction,rho_update_l2,update_l2,update_rms,update_max_abs,posterior_mu_abs_mean,posterior_sigma_mean,posterior_sigma_min,posterior_sigma_max,posterior_snr_mean,client_id,server_round
3,2383.0,1.0433291389143773,0.9162151614908306,0.7688627780109106,2.5307035715826545,1.1743788123272196e-06,1.1207627992694289e-06,0.0,851514.0,0.009999386266013143,190.0,0.03990412223560759,1.0,0.006708584777122339,1.5750883014394224,0.0012055256140504314,0.19884109869599342,0.0797403323139598,0.048815259492053314,0.030997552440281205,0.07758828043093473,1.649055244541723,15.0,3.0
3,5482.0,1.535722936217431,1.406516143676357,0.412732579350602,2.530657776810234,1.1743788123272196e-06,2.5782717858141037e-06,0.0,851514.0,0.009999386266013143,430.0,0.03954561081084947,1.0,0.011793430114331269,2.1071869126592717,0.0016127780229725107,0.1800716668367386,0.07975325064530908,0.04881525410665242,0.030997552440281205,0.07758828043093473,1.6493292106497173,12.0,3.0
3,3337.0,0.14559346346716556,0.020338065718028167,0.9954450104884627,2.530594631923148,1.1743788123272196e-06,1.5694441717004132e-06,0.0,851514.0,0.009999386266013143,270.0,0.0041203787219421814,1.0,0.005215614984974101,2.1299917675627165,0.0016302321788351898,0.3511914014816284,0.07974030400574705,0.048815262058333475,0.030997552440281205,0.07758828043093473,1.64904593137324,17.0,3.0
3,1029.0,1.4842221812036456,1.36834893981384,0.5151603498542274,2.530638675478161,1.1743788123272196e-06,4.839550652321622e-07,0.0,851514.0,0.009999386266013143,90.0,0.06683944789310643,1.0,0.007111165777595471,1.5327707626854221,0.0011731370318706906,0.15924016013741493,0.07973878506646774,0.04881525988525841,0.030997552440281205,0.07758835162720666,1.6490299510030137,18.0,3.0
3,1469.0,1.260712793057593,1.136646292597522,0.5652825051055139,2.5306584482658727,1.1743788123272196e-06,6.908940629990731e-07,0.0,851514.0,0.009999386266013143,120.0,0.05977182351413592,1.0,0.008857774211996619,1.6981703019229188,0.0012997289067012779,0.24185505509376526,0.079740806319384,0.0488152594072363,0.030997552440281205,0.07758835162720666,1.6490633357672726,19.0,3.0
3,6619.0,1.216550857362691,1.0875455113115726,0.44497658256534217,2.530680295287619,1.1743788123272196e-06,3.113020968679963e-06,0.0,851514.0,0.009999386266013143,520.0,0.03821406279626481,1.0,0.013982859249957565,2.4237207599658217,0.0018550435901113506,0.2921721562743187,0.07976010803687418,0.04881525375726352,0.030997552440281205,0.07758828043093473,1.6494765768734163,1.0,3.0
3,337.0,1.4655602799678769,1.3517154924239887,0.4240356083086053,2.530594447067224,1.1743788123272196e-06,1.5849645965329316e-07,0.0,851514.0,0.009999386266013143,30.0,0.10550140366076481,1.0,0.005239483146697524,1.5676952291558852,0.0011998671769988798,0.18117907084524632,0.07973661164362188,0.04881526066313518,0.030997552440281205,0.07758828043093473,1.6489839565398663,6.0,3.0
3,459.0,1.314284997256493,1.1979806475649732,0.530718954248366,2.5308330881817556,1.1743788123272196e-06,2.1587499994320937e-07,0.0,851514.0,0.009999386266013143,40.0,0.08314594444164307,1.0,0.005460617588173125,1.7200112328656842,0.0013164453039103412,0.17318833991885185,0.07973776750550989,0.048815260988772,0.030997552440281205,0.07758828043093473,1.6489971466865505,9.0,3.0
3,2926.0,0.9447584996179449,0.8158221978890269,0.6619958988380041,2.5307386901448483,1.1743788123272196e-06,1.3761443351499577e-06,0.0,851514.0,0.009999386266013143,230.0,0.04316679846273523,1.0,0.008509215639711524,1.6501522432948246,0.0012629773166093182,0.1729014813899994,0.07974249159080202,0.04881525927526325,0.030997552440281205,0.07758863641292267,1.6491029291920902,14.0,3.0
3,1988.0,1.386053209693379,1.2601303330849354,0.3843058350100604,2.5306181713541998,1.1743788123272196e-06,9.349880171832249e-07,0.0,851514.0,0.009999386266013143,160.0,0.06033244394197448,1.0,0.009620196488412284,1.8234034394889318,0.0013955786155244354,0.19608799926936626,0.0797454998173939,0.04881525721828957,0.030997552440281205,0.07758828043093473,1.6491690259999554,2.0,3.0
3,1781.0,1.0337194488966888,0.9047881303979466,0.7876473891072431,2.5307036747822957,1.1743788123272196e-06,8.376326250519735e-07,0.0,851514.0,0.009999386266013143,140.0,0.03970040536513424,1.0,0.006484822041544903,1.4448232432596042,0.001105824623250088,0.19830314442515373,0.07973573850952692,0.04881526016093917,0.030997552440281205,0.07758822703377202,1.6489597364093886,4.0,3.0
