label,method,model,metric,round,accuracy_percent,run_dir
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,136,74.42,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,137,74.53,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,138,75.1,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,139,74.94,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,140,74.48,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,141,75.4,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,142,74.76,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,143,74.53,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,144,74.74,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,145,74.72,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,146,74.74,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,147,74.87,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,148,74.8,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,149,74.9,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,150,74.83,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,151,74.53999999999999,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,152,74.99,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,153,75.01,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,154,75.21,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,155,75.21,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,156,75.31,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,157,75.49,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
FedAvg — BasicCNN,FedAvg,BasicCNN,accuracy,158,75.51,outputs/run_paperenv_fedavg_cifar10_a0p1_basiccnn_lr001_e10_r300_20260907_103853
