run_id,round,logical_round,physical_round,phase,client_id,num_examples,distance_m,train_loss,phase1_loss,phase2_loss,local_steps,local_precision_mean,local_precision_min,local_precision_max,local_precision_delta_l2,local_precision_delta_max_abs,local_precision_changed_fraction,local_precision_gradient_l2_mean,local_precision_gradient_max_abs,local_nu_l2,local_implied_mean_l2
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,29,10,150.73831511029144,0.027997427067337443,0.0,0.027997427067337443,3,400.00001246042257,399.99996920551524,400.00097624665017,nan,nan,nan,nan,nan,8.70458984375,8.70458984375
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,30,12,117.38007029242921,6.938032462155017e-05,0.0,6.938032462155017e-05,6,400.00001245507406,399.9999692421318,400.00097888292794,nan,nan,nan,nan,nan,8.624335289001465,8.624335289001465
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,31,13,39.98254245764393,0.000606002101745999,0.0,0.000606002101745999,6,400.0000124486183,399.9999698403452,400.00097582740295,nan,nan,nan,nan,nan,8.635615348815918,8.635615348815918
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,32,8,199.40380001848047,0.00020375396237089018,0.0,0.00020375396237089018,3,400.00001244455336,399.9999692699352,400.0009762640925,nan,nan,nan,nan,nan,8.623785972595215,8.623785972595215
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,33,8,198.5432705547321,0.0005574911811291843,0.0,0.0005574911811291843,3,400.00001244282834,399.9999692640938,400.00097626708146,nan,nan,nan,nan,nan,8.626144409179688,8.626144409179688
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,34,9,55.107426757844614,0.0005121426257322578,0.0,0.0005121426257322578,3,400.000012442794,399.9999692680101,400.0009758921747,nan,nan,nan,nan,nan,8.627791404724121,8.627791404724121
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,35,7,95.02569977212417,0.000841185339770189,0.0,0.000841185339770189,3,400.0000124432872,399.9999692659841,400.00097626741683,nan,nan,nan,nan,nan,8.626880645751953,8.626880645751953
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,36,6,116.83651709908216,0.0006060986199003968,0.0,0.0006060986199003968,3,400.00001244247034,399.9999692656173,400.00097626768394,nan,nan,nan,nan,nan,8.625574111938477,8.625574111938477
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,37,6,108.23236193714787,0.0062483703736569965,0.0,0.0062483703736569965,3,400.0000124424893,399.9999692726469,400.0009764406786,nan,nan,nan,nan,nan,8.67910099029541,8.67910099029541
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,38,7,85.6473774244725,0.0009172767678157232,0.0,0.0009172767678157232,3,400.0000124466284,399.9999693058795,400.000976038504,nan,nan,nan,nan,nan,8.626967430114746,8.626967430114746
fig5_power_33dbm_proposed_rep00_seed2025,202,202,404,natural_mean,39,14,67.09758279224906,0.0001744827427077098,0.0,0.0001744827427077098,6,400.0000124518868,399.99996854090745,400.00097626942875,nan,nan,nan,nan,nan,8.626508712768555,8.626508712768555
