run_id,experiment,condition,method,realization,round,logical_round,physical_round,phase,bin,lower,upper,count,confidence,accuracy
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,6,6,12,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,1,0.1,0.2,4132,0.17971810128399832,0.14399806389157793
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,2,0.2,0.30000000000000004,5650,0.23285890792269853,0.15097345132743362
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,3,0.30000000000000004,0.4,218,0.3170195817310842,0.2018348623853211
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,4,0.4,0.5,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,7,0.7000000000000001,0.8,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,8,0.8,0.9,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,7,7,14,natural_mean,9,0.9,1.0,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,0,0.0,0.1,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,1,0.1,0.2,1677,0.18328673483733895,0.03398926654740608
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,2,0.2,0.30000000000000004,7218,0.2470474202846459,0.1483790523690773
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,3,0.30000000000000004,0.4,1093,0.3274548100356366,0.2845379688929552
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,4,0.4,0.5,12,0.41271993198121587,0.75
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,5,0.5,0.6000000000000001,0,0.0,0.0
fig5_power_3dbm_proposed_rep00_seed2025,fig5,power_3dbm,proposed,0,8,8,16,natural_mean,6,0.6000000000000001,0.7000000000000001,0,0.0,0.0
