round,Nt,accuracy,loss,distortion,rho_ref,m0
90.0,27090.0,0.0998,2.3022471935272217,0.00424886588819468,5.4459688667495333e-11,20.0
91.0,27391.0,0.0997,2.302277442932129,0.004930873724706783,5.898719934963664e-11,20.0
92.0,27692.0,0.0998,2.302314735031128,0.00572457955670393,6.363330586991588e-11,20.0
93.0,27993.0,0.0996,2.302363953781128,0.006609379350715414,7.071377377568476e-11,20.0
94.0,28294.0,0.0995,2.3024214721679686,0.007863534306089118,7.87094703395755e-11,20.0
95.0,28595.0,0.0996,2.3024963497161863,0.009233346110418261,8.751515398182722e-11,20.0
96.0,28896.0,0.0997,2.302588338470459,0.010778939307378391,9.760856988189364e-11,20.0
97.0,29197.0,0.0994,2.302711189651489,0.012790874811696471,1.1045172240349356e-10,20.0
98.0,29498.0,0.0991,2.3028694664001463,0.015171592672472698,1.245318072673335e-10,20.0
99.0,29799.0,0.0984,2.3030711738586427,0.017436393246592782,1.4472252992685086e-10,20.0
100.0,30100.0,0.0983,2.3033391799926757,0.01992230502912097,1.679778163075803e-10,20.0
101.0,30401.0,0.0986,2.303682443237305,0.022039375454605152,1.98563225488255e-10,20.0
102.0,30702.0,0.0986,2.3041642547607424,0.023642006741490924,2.3830557390363343e-10,20.0
103.0,31003.0,0.0989,2.3048161399841307,0.024095803258512308,2.9164947563949365e-10,20.0
104.0,31304.0,0.0989,2.3057331943511965,0.02313954382770446,3.658383178735522e-10,20.0
105.0,31605.0,0.099,2.306993904876709,0.01924673016826901,4.737540927299572e-10,20.0
106.0,31906.0,0.0991,2.3085408016204836,0.013747186397569547,6.26114926599738e-10,20.0
107.0,32207.0,0.0995,2.3106926719665526,0.00923589916157371,8.292419888529029e-10,20.0
108.0,32508.0,0.0998,2.3130882595062254,0.005969026868087625,1.1175196565852692e-09,20.0
109.0,32809.0,0.0991,2.315143049621582,0.002889455282458232,1.4653270318713813e-09,20.0
110.0,33110.0,0.1002,2.316251891326904,0.0018521473552252717,1.7841164815635859e-09,20.0
111.0,33411.0,0.1012,2.317296912765503,0.0015486685473635271,1.9826516940600356e-09,20.0
112.0,33712.0,0.1024,2.3177528060913084,0.001190150928347658,2.2024947029467322e-09,20.0
113.0,34013.0,0.1025,2.317338900756836,0.001404036485802291,2.2989623956482314e-09,20.0
114.0,34314.0,0.1015,2.317377473449707,0.001612158948600928,2.3188989599601918e-09,20.0
115.0,34615.0,0.1027,2.3181438110351564,0.001194704721377678,2.2836003222007033e-09,20.0
116.0,34916.0,0.105,2.318955531692505,0.0011720511546588338,2.3870154400281997e-09,20.0
117.0,35217.0,0.1048,2.3188184051513674,0.00156381278637586,2.49832397474573e-09,20.0
118.0,35518.0,0.1043,2.3196359191894533,0.001206842807607688,2.4757575527550315e-09,20.0
119.0,35819.0,0.1048,2.319492974090576,0.001180829924164618,2.5517570443901965e-09,20.0
120.0,36120.0,0.1046,2.319721670913696,0.0011230878752916543,2.4670876032579316e-09,20.0
121.0,36421.0,0.1049,2.3195013656616212,0.001332600049391549,2.4139972003703235e-09,20.0
122.0,36722.0,0.1051,2.3196959033966063,0.0012354713280853585,2.3981021331078665e-09,20.0
123.0,37023.0,0.1042,2.319677024078369,0.0013547341294869923,2.4197128767051503e-09,20.0
124.0,37324.0,0.1062,2.3196775802612306,0.0012195056500303538,2.3277654844965094e-09,20.0
125.0,37625.0,0.1056,2.318325196456909,0.0013357591228141557,2.334804830738781e-09,20.0
126.0,37926.0,0.1046,2.319099669647217,0.0011984960110206057,2.1400999365892517e-09,20.0
127.0,38227.0,0.1045,2.319666997909546,0.0013711624045515758,2.1854690919352914e-09,20.0
128.0,38528.0,0.1027,2.3204642684936525,0.0011181371111751452,2.248005022587833e-09,20.0
129.0,38829.0,0.1029,2.319391638946533,0.0015437235528148092,2.358137908125194e-09,20.0
130.0,39130.0,0.1018,2.320107167816162,0.001272406321413436,2.2048785094646604e-09,20.0
131.0,39431.0,0.1013,2.31982144241333,0.0013875472774159505,2.305865639662249e-09,20.0
132.0,39732.0,0.1015,2.319555470275879,0.0013978540861835308,2.2962890761633467e-09,20.0
133.0,40033.0,0.1016,2.319238780212402,0.0013671718223145725,2.2383638146379793e-09,20.0
134.0,40334.0,0.1027,2.319676915740967,0.0014139873979799786,2.163231484605621e-09,20.0
135.0,40635.0,0.1018,2.3195000343322754,0.0012681289320063697,2.2876593505312325e-09,20.0
136.0,40936.0,0.1015,2.319827055358887,0.0012562981323773644,2.2583685217312633e-09,20.0
137.0,41237.0,0.1014,2.3203755279541016,0.0011331511658304947,2.280935339256808e-09,20.0
138.0,41538.0,0.1013,2.3205268089294435,0.00140576711495038,2.388114728943608e-09,20.0
139.0,41839.0,0.1013,2.320926879119873,0.0009529503435502864,2.4448692218119465e-09,20.0
140.0,42140.0,0.1008,2.321041297912598,0.0011758742721076952,2.455323855553094e-09,20.0
141.0,42441.0,0.1007,2.3198324409484865,0.0016182750645830158,2.459879769347889e-09,20.0
142.0,42742.0,0.1008,2.3209719566345215,0.0011768110524647626,2.305794762963193e-09,20.0
143.0,43043.0,0.1006,2.3207499671936036,0.001129979725316172,2.5121707220242867e-09,20.0
144.0,43344.0,0.1006,2.3212634841918947,0.0012595451795343003,2.4734119687880414e-09,20.0
145.0,43645.0,0.1005,2.3218417453765867,0.001141007138134872,2.5339071403177247e-09,20.0
146.0,43946.0,0.1006,2.3216532951354982,0.0012125223188228645,2.6385634627721545e-09,20.0
147.0,44247.0,0.0999,2.3208541778564453,0.001722310025540949,2.6080973292166484e-09,20.0
148.0,44548.0,0.0999,2.3215601943969726,0.001586649832441174,2.5716191041089816e-09,20.0
149.0,44849.0,0.0999,2.3210396465301515,0.0017276167953034576,2.677453578965085e-09,20.0
150.0,45150.0,0.0997,2.3203820613861086,0.0013253624357178954,2.684278955891872e-09,20.0
151.0,45451.0,0.0997,2.320500002670288,0.001369859078190144,2.5520996133364574e-09,20.0
152.0,45752.0,0.0998,2.321059666442871,0.0012819929000298358,2.5350894646691333e-09,20.0
153.0,46053.0,0.0997,2.3204313995361328,0.0016150568698405146,2.660843729828355e-09,20.0
154.0,46354.0,0.1,2.3205121158599855,0.0014608102266375834,2.6079413602183284e-09,20.0
155.0,46655.0,0.1001,2.321646573638916,0.0011611550778805049,2.6869609498294605e-09,20.0
156.0,46956.0,0.1,2.320648818206787,0.0016694010903810913,2.841345462358546e-09,20.0
157.0,47257.0,0.1,2.3207726810455322,0.0012443525975580922,2.7670176153653157e-09,20.0
158.0,47558.0,0.1,2.320938801956177,0.0017664081509874627,2.844072783367995e-09,20.0
159.0,47859.0,0.1,2.320898123931885,0.0014016126199610946,2.913012373376015e-09,20.0
160.0,48160.0,0.0996,2.320895174407959,0.001592787722921951,2.9492208034327033e-09,20.0
161.0,48461.0,0.1,2.3191896110534667,0.0017371569392780968,2.9690470935996876e-09,20.0
